"約定日","受渡日","コード/ティッカー","銘柄名","口座区分","市場","取引","信用区分","実現損益(円)","実現損益(ドル/その他外貨)","単価(円/ドル/pt/その他外貨)","数量(株/口/枚)","売却/決済額(円)","売却/決済額(ドル)","平均取得価額(円/pt)","平均取得価額(ドル)","取得日/建日","取得/建数量(株/口)","受渡金額(円)","受渡金額(ドル)","投資額(ドル)","CFD口座","通貨","円換算レート"
"2026/03/02","2026/03/04","5020","ＥＮＥＯＳホールディングス","特定","JAX","買埋","一般","-1,100","-","1,520.0","200","304,000","-","1,514.50","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","6981","村田製作所","特定","JAX","売埋","一般","-290","-","4,019.1","100","401,910","-","4,022.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7011","三菱重工業","特定","東証","売埋","一般","+600","-","5,121.0","100","512,100","-","5,115.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7011","三菱重工業","特定","JAX","買埋","一般","+1,820","-","5,073.8","100","507,380","-","5,092.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7011","三菱重工業","特定","東証","買埋","一般","-900","-","5,085.0","100","508,500","-","5,076.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7011","三菱重工業","特定","東証","売埋","一般","+100","-","5,112.0","100","511,200","-","5,111.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7011","三菱重工業","特定","東証","売埋","一般","+400","-","5,117.0","100","511,700","-","5,113.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7011","三菱重工業","特定","JAX","売埋","一般","+510","-","5,119.1","100","511,910","-","5,114.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7012","川崎重工業","特定","JAX","売埋","一般","-5,500","-","18,305.0","100","1,830,500","-","18,360.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7012","川崎重工業","特定","東証","売埋","一般","-1,500","-","18,350.0","100","1,835,000","-","18,365.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7012","川崎重工業","特定","東証","買埋","一般","-7,300","-","18,435.0","100","1,843,500","-","18,362.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7012","川崎重工業","特定","東証","買埋","一般","+3,000","-","18,355.0","100","1,835,500","-","18,385.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7012","川崎重工業","特定","東証","売埋","一般","+4,500","-","18,400.0","100","1,840,000","-","18,355.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7012","川崎重工業","特定","東証","買埋","一般","+15,500","-","18,240.0","100","1,824,000","-","18,395.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7012","川崎重工業","特定","東証","売埋","一般","-10,500","-","18,255.0","100","1,825,500","-","18,360.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7013","ＩＨＩ","特定","JAX","売埋","一般","-3,000","-","4,371.0","100","437,100","-","4,401.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7013","ＩＨＩ","特定","JAX","買埋","一般","-2,080","-","4,367.8","100","436,780","-","4,347.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7013","ＩＨＩ","特定","JAX","買埋","一般","-1,200","-","4,375.0","100","437,500","-","4,363.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7013","ＩＨＩ","特定","JAX","買埋","一般","-2,380","-","4,385.8","100","438,580","-","4,362.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7013","ＩＨＩ","特定","JAX","買埋","一般","-2,380","-","4,385.8","100","438,580","-","4,362.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7013","ＩＨＩ","特定","東証","買埋","一般","+400","-","4,361.0","100","436,100","-","4,365.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7013","ＩＨＩ","特定","東証","買埋","一般","+400","-","4,361.0","100","436,100","-","4,365.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7013","ＩＨＩ","特定","東証","買埋","一般","+900","-","4,353.0","100","435,300","-","4,362.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7013","ＩＨＩ","特定","東証","買埋","一般","+900","-","4,353.0","100","435,300","-","4,362.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7013","ＩＨＩ","特定","JAX","売埋","一般","-60","-","4,332.4","100","433,240","-","4,333.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","7013","ＩＨＩ","特定","JAX","売埋","一般","-570","-","4,321.3","100","432,130","-","4,327.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","9101","日本郵船","特定","JAX","売埋","一般","+700","-","5,468.0","100","546,800","-","5,461.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","9101","日本郵船","特定","JAX","売埋","一般","+600","-","5,468.0","100","546,800","-","5,462.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","9101","日本郵船","特定","JAX","売埋","一般","+300","-","5,467.0","100","546,700","-","5,464.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","9101","日本郵船","特定","JAX","売埋","一般","+890","-","5,457.9","100","545,790","-","5,449.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","9101","日本郵船","特定","JAX","売埋","一般","+490","-","5,457.9","100","545,790","-","5,453.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","9101","日本郵船","特定","JAX","売埋","一般","+310","-","5,457.9","100","545,790","-","5,454.80","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","9101","日本郵船","特定","東証","買埋","一般","-900","-","5,461.0","100","546,100","-","5,452.00","-","-","-","-","-","-","-","-","-"
"2026/03/02","2026/03/04","9104","商船三井","特定","JAX","買埋","一般","+2,270","-","5,796.3","100","579,630","-","5,819.00","-","-","-","-","-","-","-","-","-"
