"約定日","受渡日","コード","銘柄名","口座区分","市場","信用区分","弁済期限","取引","売買","約定数量(株/口)","約定単価(円)","約定代金(円)","手数料(円)","税金(円)","税区分","受渡金額(円)","諸費用(円)","金利(支払)(円)","金利(受取)(円)","逆日歩(支払)(円)","逆日歩(受取)(円)","特別空売り料(円)","貸株料(円)","事務管理費(円)(税抜)","名義書換料(円)(税抜)","建約定日","建単価(円)","建手数料(円)","建手数料消費税額(円)"
"2026/03/06 09:00:23","2026/03/10","9984","ソフトバンクグループ","特定","東証","一般","1日","信用新規","売建","100","3,791.0","379,100","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/06 09:01:14","2026/03/10","9984","ソフトバンクグループ","特定","東証","一般","1日","信用返済","買埋","100","3,815.0","381,500","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/06 09:01:14","2026/03/10","9984","ソフトバンクグループ","特定","東証","一般","1日","信用新規","買建","100","3,814.0","381,400","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/06 09:01:22","2026/03/10","9984","ソフトバンクグループ","特定","JAX","一般","1日","信用返済","売埋","100","3,816.2","381,620","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/06 09:03:34","2026/03/10","9984","ソフトバンクグループ","特定","東証","一般","1日","信用新規","売建","100","3,812.0","381,200","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/06 09:04:09","2026/03/10","9984","ソフトバンクグループ","特定","JAX","一般","1日","信用新規","売建","100","3,826.0","382,600","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/06 09:07:44","2026/03/10","9984","ソフトバンクグループ","特定","東証","一般","1日","信用返済","買埋","100","3,842.0","384,200","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/06 09:07:48","2026/03/10","9984","ソフトバンクグループ","特定","東証","一般","1日","信用返済","買埋","100","3,841.0","384,100","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/06 09:09:24","2026/03/10","2962","テクニスコ","特定","東証","一般","1日","信用新規","買建","100","1,150.0","115,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/06 09:09:49","2026/03/10","2962","テクニスコ","特定","東証","一般","1日","信用新規","買建","100","1,150.0","115,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/06 09:10:11","2026/03/10","2962","テクニスコ","特定","東証","一般","1日","信用返済","売埋","100","1,153.0","115,300","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/03/06 09:10:21","2026/03/10","2962","テクニスコ","特定","東証","一般","1日","信用返済","売埋","100","1,155.0","115,500","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
