"約定日","受渡日","コード","銘柄名","口座区分","市場","信用区分","弁済期限","取引","売買","約定数量(株/口)","約定単価(円)","約定代金(円)","手数料(円)","税金(円)","税区分","受渡金額(円)","諸費用(円)","金利(支払)(円)","金利(受取)(円)","逆日歩(支払)(円)","逆日歩(受取)(円)","特別空売り料(円)","貸株料(円)","事務管理費(円)(税抜)","名義書換料(円)(税抜)","建約定日","建単価(円)","建手数料(円)","建手数料消費税額(円)"
"2026/02/13 09:00:19","2026/02/17","4188","三菱ケミカルグループ","特定","東証","一般","1日","信用新規","買建","100","1,124.5","112,450","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/13 09:00:25","2026/02/17","4188","三菱ケミカルグループ","特定","東証","一般","1日","信用新規","買建","100","1,125.0","112,500","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/13 09:00:42","2026/02/17","4188","三菱ケミカルグループ","特定","東証","一般","1日","信用返済","売埋","100","1,125.0","112,500","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/13 09:00:42","2026/02/17","4188","三菱ケミカルグループ","特定","東証","一般","1日","信用返済","売埋","100","1,125.0","112,500","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/13 09:01:08","2026/02/17","9501","東京電力ＨＤ","特定","東証","一般","1日","信用新規","買建","1,000","670.8","670,800","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/13 09:01:31","2026/02/17","9501","東京電力ＨＤ","特定","東証","一般","1日","信用返済","売埋","1,000","673.3","673,300","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/13 09:01:46","2026/02/17","9501","東京電力ＨＤ","特定","東証","一般","1日","信用新規","買建","1,000","674.3","674,300","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/13 09:02:28","2026/02/17","9501","東京電力ＨＤ","特定","東証","一般","1日","信用返済","売埋","500","673.1","336,550","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/13 09:02:37","2026/02/17","9501","東京電力ＨＤ","特定","東証","一般","1日","信用返済","売埋","500","673.8","336,900","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/13 09:03:39","2026/02/17","9501","東京電力ＨＤ","特定","JAX","-","-","現物","買付","500","672.1","336,050","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
