"約定日","受渡日","コード","銘柄名","口座区分","市場","信用区分","弁済期限","取引","売買","約定数量(株/口)","約定単価(円)","約定代金(円)","手数料(円)","税金(円)","税区分","受渡金額(円)","諸費用(円)","金利(支払)(円)","金利(受取)(円)","逆日歩(支払)(円)","逆日歩(受取)(円)","特別空売り料(円)","貸株料(円)","事務管理費(円)(税抜)","名義書換料(円)(税抜)","建約定日","建単価(円)","建手数料(円)","建手数料消費税額(円)"
"2026/02/26 09:02:31","2026/03/02","6526","ソシオネクスト","特定","東証","一般","1日","信用新規","売建","100","2,015.5","201,550","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/26 09:02:33","2026/03/02","6526","ソシオネクスト","特定","東証","一般","1日","信用新規","売建","100","2,015.5","201,550","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/26 09:02:53","2026/03/02","6526","ソシオネクスト","特定","JAX","一般","1日","信用返済","買埋","100","2,021.0","202,100","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/26 09:02:53","2026/03/02","6526","ソシオネクスト","特定","東証","一般","1日","信用返済","買埋","100","2,021.0","202,100","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/26 09:03:29","2026/03/02","6315","ＴＯＷＡ","特定","東証","一般","1日","信用新規","買建","100","2,940.0","294,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/26 09:03:31","2026/03/02","6315","ＴＯＷＡ","特定","JAX","一般","1日","信用新規","買建","100","2,940.0","294,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/26 09:04:31","2026/03/02","4062","イビデン","特定","東証","一般","1日","信用新規","買建","100","9,482.0","948,200","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/26 09:06:02","2026/03/02","4062","イビデン","特定","JAX","一般","1日","信用返済","売埋","100","9,511.6","951,160","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/26 09:06:22","2026/03/02","4062","イビデン","特定","東証","一般","1日","信用新規","買建","100","9,514.0","951,400","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/26 09:06:38","2026/03/02","4062","イビデン","特定","JAX","一般","1日","信用返済","売埋","100","9,497.7","949,770","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
