"約定日","受渡日","コード/ティッカー","銘柄名","口座区分","市場","取引","信用区分","実現損益(円)","実現損益(ドル/その他外貨)","単価(円/ドル/pt/その他外貨)","数量(株/口/枚)","売却/決済額(円)","売却/決済額(ドル)","平均取得価額(円/pt)","平均取得価額(ドル)","取得日/建日","取得/建数量(株/口)","受渡金額(円)","受渡金額(ドル)","投資額(ドル)","CFD口座","通貨","円換算レート"
"2026/02/18","2026/02/20","195A","ＭＵＳＣＡＴＧＲＯＵＰ","特定","東証","売埋","一般","+2,200","-","1,218.0","100","121,800","-","1,196.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","195A","ＭＵＳＣＡＴＧＲＯＵＰ","特定","東証","売埋","一般","-1,900","-","1,206.0","100","120,600","-","1,225.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","195A","ＭＵＳＣＡＴＧＲＯＵＰ","特定","東証","売埋","一般","+600","-","1,151.0","100","115,100","-","1,145.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","195A","ＭＵＳＣＡＴＧＲＯＵＰ","特定","東証","売埋","一般","+1,800","-","1,155.0","100","115,500","-","1,137.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","195A","ＭＵＳＣＡＴＧＲＯＵＰ","特定","東証","売埋","一般","-2,400","-","1,125.0","100","112,500","-","1,149.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","195A","ＭＵＳＣＡＴＧＲＯＵＰ","特定","東証","売埋","一般","-2,200","-","1,049.0","100","104,900","-","1,071.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","195A","ＭＵＳＣＡＴＧＲＯＵＰ","特定","東証","買埋","一般","+3,400","-","1,005.0","100","100,500","-","1,040.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","195A","ＭＵＳＣＡＴＧＲＯＵＰ","特定","東証","買埋","一般","+300","-","990.0","100","99,000","-","994.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","195A","ＭＵＳＣＡＴＧＲＯＵＰ","特定","東証","売埋","一般","-1,000","-","1,027.0","100","102,700","-","1,037.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+10,800","-","1,378.0","100","137,800","-","1,270.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","買埋","一般","-2,590","-","1,333.0","100","133,300","-","1,309.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","+1,310","-","1,269.1","100","126,910","-","1,256.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,700","-","1,337.0","100","133,700","-","1,320.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+2,600","-","1,363.0","100","136,300","-","1,337.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,000","-","1,362.0","100","136,200","-","1,352.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+900","-","1,355.0","100","135,500","-","1,346.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+4,500","-","1,397.0","100","139,700","-","1,352.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-1,400","-","1,376.0","100","137,600","-","1,390.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","-3,390","-","1,361.1","100","136,110","-","1,395.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-3,000","-","1,371.0","100","137,100","-","1,401.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","買埋","一般","-1,690","-","1,377.0","100","137,700","-","1,362.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","+3,020","-","1,402.2","100","140,220","-","1,372.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","-1,180","-","1,435.2","100","143,520","-","1,447.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-90","-","1,455.0","100","145,500","-","1,455.90","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+2,900","-","1,487.0","100","148,700","-","1,458.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+2,600","-","1,486.0","100","148,600","-","1,460.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-4,300","-","1,433.0","100","143,300","-","1,476.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","+120","-","1,434.2","100","143,420","-","1,433.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-300","-","1,454.0","100","145,400","-","1,457.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-6,800","-","1,446.0","100","144,600","-","1,514.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,300","-","1,473.0","100","147,300","-","1,460.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-1,900","-","1,465.0","100","146,500","-","1,484.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,900","-","1,513.0","100","151,300","-","1,494.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,420","-","1,515.0","100","151,500","-","1,500.80","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","-2,700","-","1,517.0","100","151,700","-","1,544.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","-1,780","-","1,568.2","100","156,820","-","1,586.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","買埋","一般","+1,910","-","1,548.0","100","154,800","-","1,569.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","買埋","一般","-2,390","-","1,559.0","100","155,900","-","1,537.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","買埋","一般","+2,110","-","1,496.0","100","149,600","-","1,519.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,410","-","1,528.0","100","152,800","-","1,513.90","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","+6,710","-","1,569.1","100","156,910","-","1,502.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","+6,420","-","1,570.2","100","157,020","-","1,506.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,200","-","1,664.0","100","166,400","-","1,652.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","-2,590","-","1,629.1","100","162,910","-","1,655.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,340","-","1,677.0","100","167,700","-","1,663.60","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","+1,900","-","1,729.0","100","172,900","-","1,710.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,400","-","1,742.0","100","174,200","-","1,728.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+300","-","1,777.0","100","177,700","-","1,774.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,400","-","1,833.0","100","183,300","-","1,819.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-1,900","-","1,817.0","100","181,700","-","1,836.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","-4,000","-","1,719.0","100","171,900","-","1,759.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-5,100","-","1,785.0","100","178,500","-","1,836.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","-2,590","-","1,755.1","100","175,510","-","1,781.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","-1,490","-","1,773.1","100","177,310","-","1,788.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","-1,900","-","1,784.0","100","178,400","-","1,803.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-600","-","1,783.0","100","178,300","-","1,789.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-300","-","1,806.0","100","180,600","-","1,809.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,600","-","1,882.0","100","188,200","-","1,866.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-61,000","-","1,288.0","100","128,800","-","1,898.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+3,400","-","1,493.0","100","149,300","-","1,459.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-600","-","1,500.0","100","150,000","-","1,506.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-6,770","-","1,450.0","100","145,000","-","1,517.70","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+100","-","1,509.0","100","150,900","-","1,508.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,100","-","1,533.0","100","153,300","-","1,522.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,200","-","1,567.0","100","156,700","-","1,555.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+3,500","-","1,556.0","100","155,600","-","1,521.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,100","-","1,564.0","100","156,400","-","1,553.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,500","-","1,568.0","100","156,800","-","1,553.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,400","-","1,567.0","100","156,700","-","1,553.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+700","-","1,592.0","100","159,200","-","1,585.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-2,900","-","1,566.0","100","156,600","-","1,595.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-600","-","1,576.0","100","157,600","-","1,582.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,000","-","1,374.0","100","137,400","-","1,364.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","+1,900","-","1,392.0","100","139,200","-","1,373.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-2,500","-","1,356.0","100","135,600","-","1,381.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-1,800","-","1,359.0","100","135,900","-","1,377.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-1,600","-","1,333.0","100","133,300","-","1,349.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-900","-","1,359.0","100","135,900","-","1,368.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-1,500","-","1,359.0","100","135,900","-","1,374.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","+1,800","-","1,388.0","300","416,400","-","1,382.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","-2,490","-","1,345.1","100","134,510","-","1,370.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-2,500","-","1,345.0","100","134,500","-","1,370.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-7,000","-","1,340.0","200","268,000","-","1,375.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-4,200","-","1,339.0","100","133,900","-","1,381.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-4,300","-","1,338.0","100","133,800","-","1,381.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-8,200","-","1,340.0","200","268,000","-","1,381.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-4,000","-","1,342.0","100","134,200","-","1,382.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-5,000","-","1,332.0","100","133,200","-","1,382.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","売埋","一般","-4,900","-","1,335.0","100","133,500","-","1,384.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","売埋","一般","-5,200","-","1,332.0","100","133,200","-","1,384.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","買埋","一般","-1,590","-","1,356.0","100","135,600","-","1,342.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","買埋","一般","-1,570","-","1,356.0","100","135,600","-","1,342.20","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","買埋","一般","-1,690","-","1,357.0","100","135,700","-","1,342.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","買埋","一般","-1,690","-","1,357.0","100","135,700","-","1,342.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","買埋","一般","-1,770","-","1,358.0","100","135,800","-","1,342.20","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","買埋","一般","-1,550","-","1,358.0","100","135,800","-","1,344.40","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","買埋","一般","-1,980","-","1,359.9","100","135,990","-","1,342.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JNX","買埋","一般","-2,080","-","1,359.9","100","135,990","-","1,341.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","JAX","買埋","一般","-2,280","-","1,360.0","100","136,000","-","1,339.10","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","買埋","一般","-2,290","-","1,360.0","100","136,000","-","1,339.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","買埋","一般","-2,390","-","1,361.0","100","136,100","-","1,339.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","2962","テクニスコ","特定","東証","買埋","一般","-2,390","-","1,361.0","100","136,100","-","1,339.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","338A","ＺＥＮＭＵＴＥＣＨ","特定","東証","売埋","一般","+8,000","-","6,430.0","100","643,000","-","6,350.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","4316","ビーマップ","特定","東証","売埋","一般","+1,300","-","1,607.0","100","160,700","-","1,594.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","4316","ビーマップ","特定","JAX","売埋","一般","-3,100","-","1,500.0","100","150,000","-","1,531.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","4316","ビーマップ","特定","東証","売埋","一般","-7,800","-","1,464.0","100","146,400","-","1,542.00","-","-","-","-","-","-","-","-","-"
"2026/02/18","2026/02/20","8136","サンリオ","特定","JAX","売埋","一般","+2,240","-","5,959.4","100","595,940","-","5,937.00","-","-","-","-","-","-","-","-","-"
