"約定日","受渡日","コード","銘柄名","口座区分","市場","信用区分","弁済期限","取引","売買","約定数量(株/口)","約定単価(円)","約定代金(円)","手数料(円)","税金(円)","税区分","受渡金額(円)","諸費用(円)","金利(支払)(円)","金利(受取)(円)","逆日歩(支払)(円)","逆日歩(受取)(円)","特別空売り料(円)","貸株料(円)","事務管理費(円)(税抜)","名義書換料(円)(税抜)","建約定日","建単価(円)","建手数料(円)","建手数料消費税額(円)"
"2026/02/25 09:00:45","2026/02/27","9501","東京電力ＨＤ","特定","東証","一般","1日","信用新規","買建","1,000","687.1","687,100","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:00:48","2026/02/27","9501","東京電力ＨＤ","特定","東証","一般","1日","信用返済","売埋","1,000","687.8","687,800","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:01:10","2026/02/27","7167","めぶきフィナンシャルＧ","特定","東証","一般","1日","信用新規","買建","100","1,297.0","129,700","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:01:47","2026/02/27","7167","めぶきフィナンシャルＧ","特定","東証","一般","1日","信用返済","売埋","100","1,290.0","129,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:12:27","2026/02/27","6227","ＡＩメカテック","特定","JAX","一般","1日","信用新規","買建","100","25,470.0","2,547,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:12:51","2026/02/27","6227","ＡＩメカテック","特定","東証","一般","1日","信用返済","売埋","100","25,560.0","2,556,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:15:29","2026/02/27","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","買建","100","26,580.0","2,658,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:16:01","2026/02/27","6227","ＡＩメカテック","特定","JAX","一般","1日","信用返済","売埋","100","26,182.0","2,618,200","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:20:26","2026/02/27","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","買建","100","26,320.0","2,632,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:20:38","2026/02/27","6227","ＡＩメカテック","特定","東証","一般","1日","信用返済","売埋","100","26,380.0","2,638,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:20:56","2026/02/27","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","買建","100","26,700.0","2,670,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:21:05","2026/02/27","6227","ＡＩメカテック","特定","JAX","一般","1日","信用返済","売埋","100","26,741.0","2,674,100","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:21:38","2026/02/27","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","買建","100","26,790.0","2,679,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:22:21","2026/02/27","6227","ＡＩメカテック","特定","東証","一般","1日","信用返済","売埋","100","27,190.0","2,719,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:33:17","2026/02/27","6227","ＡＩメカテック","特定","JAX","一般","1日","信用新規","売建","100","26,844.0","2,684,400","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:34:27","2026/02/27","6227","ＡＩメカテック","特定","JAX","一般","1日","信用返済","買埋","100","26,649.0","2,664,900","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:37:06","2026/02/27","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","売建","100","26,360.0","2,636,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:37:22","2026/02/27","6227","ＡＩメカテック","特定","東証","一般","1日","信用返済","買埋","100","26,150.0","2,615,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:38:08","2026/02/27","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","売建","100","25,830.0","2,583,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/25 09:38:58","2026/02/27","6227","ＡＩメカテック","特定","東証","一般","1日","信用返済","買埋","100","25,500.0","2,550,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
