"約定日","受渡日","コード","銘柄名","口座区分","市場","信用区分","弁済期限","取引","売買","約定数量(株/口)","約定単価(円)","約定代金(円)","手数料(円)","税金(円)","税区分","受渡金額(円)","諸費用(円)","金利(支払)(円)","金利(受取)(円)","逆日歩(支払)(円)","逆日歩(受取)(円)","特別空売り料(円)","貸株料(円)","事務管理費(円)(税抜)","名義書換料(円)(税抜)","建約定日","建単価(円)","建手数料(円)","建手数料消費税額(円)"
"2026/02/27 09:02:05","2026/03/03","4062","イビデン","特定","東証","一般","1日","信用新規","売建","100","9,262.0","926,200","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:02:15","2026/03/03","4062","イビデン","特定","東証","一般","1日","信用返済","買埋","100","9,280.0","928,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:02:56","2026/03/03","4062","イビデン","特定","東証","一般","1日","信用新規","買建","100","9,343.0","934,300","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:03:02","2026/03/03","4062","イビデン","特定","JAX","一般","1日","信用返済","売埋","100","9,338.0","933,800","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:03:25","2026/03/03","6526","ソシオネクスト","特定","東証","一般","1日","信用新規","売建","200","1,966.5","393,300","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:03:38","2026/03/03","6526","ソシオネクスト","特定","東証","一般","1日","信用返済","買埋","200","1,960.0","392,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:03:58","2026/03/03","6526","ソシオネクスト","特定","東証","一般","1日","信用新規","売建","200","1,971.5","394,300","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:04:03","2026/03/03","6526","ソシオネクスト","特定","JAX","一般","1日","信用新規","売建","100","1,976.1","197,610","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:04:03","2026/03/03","6526","ソシオネクスト","特定","JAX","一般","1日","信用新規","売建","100","1,976.0","197,600","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:04:25","2026/03/03","6526","ソシオネクスト","特定","東証","一般","1日","信用返済","買埋","200","1,970.5","394,100","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:04:33","2026/03/03","6526","ソシオネクスト","特定","東証","一般","1日","信用返済","買埋","200","1,970.0","394,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:06:48","2026/03/03","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","売建","100","19,100.0","1,910,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:06:54","2026/03/03","6227","ＡＩメカテック","特定","東証","一般","1日","信用返済","買埋","100","19,080.0","1,908,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:09:48","2026/03/03","4062","イビデン","特定","JAX","一般","1日","信用新規","売建","100","9,380.5","938,050","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:09:58","2026/03/03","4062","イビデン","特定","JAX","一般","1日","信用返済","買埋","100","9,393.0","939,300","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:13:17","2026/03/03","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","売建","100","18,870.0","1,887,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:14:05","2026/03/03","6227","ＡＩメカテック","特定","東証","一般","1日","信用返済","買埋","100","19,120.0","1,912,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:14:37","2026/03/03","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","売建","100","19,280.0","1,928,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:14:54","2026/03/03","6227","ＡＩメカテック","特定","東証","一般","1日","信用返済","買埋","100","19,220.0","1,922,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:18:09","2026/03/03","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","買建","100","19,880.0","1,988,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:18:18","2026/03/03","6227","ＡＩメカテック","特定","JAX","一般","1日","信用返済","売埋","100","19,961.0","1,996,100","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:18:48","2026/03/03","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","買建","100","19,810.0","1,981,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:19:14","2026/03/03","6227","ＡＩメカテック","特定","東証","一般","1日","信用返済","売埋","100","19,580.0","1,958,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:25:02","2026/03/03","6227","ＡＩメカテック","特定","JAX","一般","1日","信用新規","売建","100","19,568.0","1,956,800","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:25:15","2026/03/03","6227","ＡＩメカテック","特定","東証","一般","1日","信用返済","買埋","100","19,730.0","1,973,000","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:26:35","2026/03/03","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","買建","100","19,660.0","1,966,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:26:53","2026/03/03","6227","ＡＩメカテック","特定","JAX","一般","1日","信用返済","売埋","100","19,522.0","1,952,200","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:28:46","2026/03/03","6315","ＴＯＷＡ","特定","東証","一般","1日","信用新規","売建","200","2,965.0","593,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:30:36","2026/03/03","6315","ＴＯＷＡ","特定","JAX","一般","1日","信用返済","買埋","200","2,972.0","594,400","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:31:26","2026/03/03","2962","テクニスコ","特定","東証","一般","1日","信用新規","買建","100","1,417.0","141,700","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:31:30","2026/03/03","2962","テクニスコ","特定","東証","一般","1日","信用新規","買建","100","1,417.0","141,700","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:31:42","2026/03/03","2962","テクニスコ","特定","JAX","一般","1日","信用返済","売埋","100","1,398.0","139,800","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:31:42","2026/03/03","2962","テクニスコ","特定","東証","一般","1日","信用返済","売埋","100","1,398.0","139,800","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:31:56","2026/03/03","2962","テクニスコ","特定","東証","一般","1日","信用新規","買建","100","1,383.0","138,300","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:31:57","2026/03/03","2962","テクニスコ","特定","東証","一般","1日","信用新規","買建","100","1,383.0","138,300","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:32:29","2026/03/03","2962","テクニスコ","特定","東証","一般","1日","信用返済","売埋","200","1,358.0","271,600","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:34:02","2026/03/03","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","売建","100","19,190.0","1,919,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:34:36","2026/03/03","6227","ＡＩメカテック","特定","JAX","一般","1日","信用返済","買埋","100","19,253.0","1,925,300","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:35:01","2026/03/03","6227","ＡＩメカテック","特定","東証","一般","1日","信用新規","売建","100","19,220.0","1,922,000","-","-","","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026/02/27 09:38:16","2026/03/03","6227","ＡＩメカテック","特定","JAX","一般","1日","信用返済","買埋","100","19,129.0","1,912,900","-","-","源徴あり","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
